event_id,user_id,event_date,event_type,traffic_source
1,4,2026-04-21,view_product,paid_search
2,854,2026-03-23,add_to_cart,social
3,640,2026-04-04,view_product,social
4,986,2026-05-06,purchase,organic
5,992,2026-04-03,checkout,paid_search
6,472,2026-04-02,view_product,social
7,110,2026-04-15,add_to_cart,paid_search
8,867,2026-05-20,add_to_cart,paid_search
9,37,2026-04-14,view_product,email
10,992,2026-03-19,view_product,paid_search
11,583,2026-05-26,add_to_cart,social
12,801,2026-03-15,view_product,organic
13,31,2026-05-17,view_product,paid_search
14,951,2026-05-05,view_product,social
15,381,2026-04-08,view_product,email
16,268,2026-03-18,view_product,paid_search
17,11,2026-05-09,view_product,organic
18,344,2026-04-28,view_product,paid_search
19,840,2026-04-01,view_product,social
20,544,2026-03-21,add_to_cart,paid_search
21,569,2026-04-09,purchase,paid_search
22,166,2026-03-27,view_product,email
23,700,2026-03-02,checkout,paid_search
24,342,2026-05-19,view_product,organic
25,482,2026-04-08,add_to_cart,paid_search
26,19,2026-05-25,view_product,email
27,628,2026-04-25,add_to_cart,social
28,980,2026-03-13,add_to_cart,paid_search
29,184,2026-04-25,view_product,paid_search
30,782,2026-05-05,view_product,email
31,545,2026-05-17,checkout,email
32,10,2026-04-25,view_product,email
33,592,2026-03-28,view_product,paid_search
34,192,2026-05-03,view_product,organic
35,320,2026-05-10,view_product,email
36,702,2026-05-21,view_product,social
37,580,2026-05-03,view_product,paid_search
38,475,2026-04-25,view_product,social
39,860,2026-04-10,view_product,social
40,637,2026-04-10,add_to_cart,organic
41,427,2026-03-04,add_to_cart,social
42,848,2026-04-26,purchase,email
43,59,2026-03-30,checkout,email
44,436,2026-05-27,purchase,paid_search
45,97,2026-05-23,add_to_cart,organic
46,496,2026-04-15,add_to_cart,organic
47,787,2026-04-25,view_product,social
48,661,2026-03-31,add_to_cart,organic
49,278,2026-05-27,view_product,social
50,265,2026-03-07,checkout,social
51,9,2026-05-29,view_product,organic
52,457,2026-05-16,add_to_cart,paid_search
53,795,2026-04-23,view_product,social
54,273,2026-03-08,view_product,email
55,940,2026-04-24,view_product,email
56,813,2026-05-08,view_product,organic
57,8,2026-04-13,view_product,organic
58,208,2026-03-13,view_product,social
59,914,2026-03-20,view_product,social
60,637,2026-05-17,view_product,email
61,123,2026-04-01,checkout,social
62,33,2026-04-29,view_product,email
63,513,2026-04-19,view_product,social
64,204,2026-03-27,purchase,paid_search
65,518,2026-03-25,add_to_cart,paid_search
66,809,2026-04-21,view_product,email
67,951,2026-05-07,view_product,paid_search
68,517,2026-03-21,checkout,paid_search
69,443,2026-03-18,view_product,organic
70,592,2026-04-08,view_product,social
71,786,2026-03-15,add_to_cart,organic
