order_id,user_id,order_date,amount,status
1,983,2026-04-09,84.66,completed
2,729,2026-04-12,0.96,completed
3,504,2026-03-22,66.57,completed
4,456,2026-03-20,11.68,completed
5,45,2026-03-08,7.13,cancelled
6,214,2026-03-29,50.87,completed
7,59,2026-04-09,19.26,cancelled
8,644,2026-05-29,2.94,cancelled
9,616,2026-03-30,7.4,completed
10,195,2026-05-20,0.05,completed
11,925,2026-05-23,116.77,completed
12,489,2026-04-24,1.25,refunded
13,157,2026-03-16,11.75,completed
14,610,2026-04-15,26.92,completed
15,226,2026-05-01,22.05,completed
16,412,2026-03-07,121.37,completed
17,205,2026-05-19,2.06,completed
18,79,2026-04-14,35.89,completed
19,124,2026-04-28,57.05,completed
20,471,2026-04-25,134.19,cancelled
21,940,2026-04-17,48.43,completed
22,218,2026-03-27,81.42,completed
23,516,2026-04-22,4.37,completed
24,602,2026-05-26,24.38,completed
25,104,2026-05-27,23.42,completed
26,393,2026-05-12,108.7,completed
27,631,2026-04-04,8.21,completed
28,645,2026-04-20,8.24,completed
29,824,2026-05-23,19.92,completed
30,608,2026-04-06,2.8,completed
31,980,2026-05-20,10.07,completed
32,434,2026-04-26,167.92,completed
33,331,2026-03-08,27.95,completed
34,143,2026-05-18,49.99,completed
35,800,2026-03-20,64.75,completed
36,540,2026-04-22,22.86,completed
37,278,2026-03-12,7.96,cancelled
38,233,2026-04-18,11.57,cancelled
39,529,2026-03-17,18.79,completed
40,571,2026-05-03,50.54,completed
41,90,2026-04-11,25.4,completed
42,492,2026-03-29,0.34,completed
43,199,2026-03-19,37.05,completed
44,362,2026-03-11,127.24,completed
45,441,2026-04-19,83.59,completed
46,26,2026-05-10,87.21,completed
47,25,2026-04-27,79.25,completed
48,394,2026-04-03,19.56,completed
49,507,2026-03-20,72.45,completed
50,301,2026-04-19,7.73,completed
51,339,2026-05-27,53.61,completed
52,267,2026-03-10,51.3,completed
53,461,2026-04-01,1.3,completed
54,693,2026-04-21,77.55,completed
55,456,2026-03-15,116.78,completed
56,360,2026-05-23,15.56,completed
57,68,2026-03-03,83.67,completed
58,863,2026-04-06,4.3,cancelled
59,412,2026-04-09,45.81,completed
60,971,2026-05-11,33.24,completed
61,491,2026-04-09,39.47,completed
62,833,2026-04-25,130.32,completed
63,49,2026-03-23,102.52,completed
64,687,2026-03-11,76.88,completed
65,564,2026-05-03,15.99,completed
66,102,2026-03-08,121.42,completed
67,216,2026-04-25,5.13,completed
68,438,2026-04-29,95.98,cancelled
69,700,2026-03-10,19.89,completed
70,569,2026-04-08,2.76,completed
71,559,2026-03-28,55.34,completed
72,159,2026-04-18,13.15,completed
73,489,2026-04-05,13.96,completed
74,686,2026-03-13,18.27,completed
75,242,2026-04-05,3.29,cancelled
76,794,2026-03-26,9.75,completed
77,753,2026-05-25,0.26,completed
78,882,2026-03-04,29.48,completed
79,5,2026-05-21,4.4,completed
80,596,2026-05-03,57.39,completed
81,820,2026-04-07,13.43,completed
82,361,2026-05-27,143.74,completed
83,459,2026-05-26,102.49,completed
84,248,2026-03-22,17.09,completed
85,566,2026-03-02,76.44,refunded
86,673,2026-03-31,81.29,completed
87,946,2026-03-11,215.49,completed
88,422,2026-04-15,45.55,completed
89,923,2026-05-01,4.28,completed
90,738,2026-05-08,52.04,completed
91,15,2026-05-03,49.04,completed
92,736,2026-03-10,50.85,refunded
93,573,2026-04-09,18.35,completed
94,122,2026-03-24,98.19,completed
95,277,2026-04-13,160.29,completed
96,558,2026-04-29,12.28,completed
97,453,2026-05-01,4.61,completed
98,390,2026-05-26,10.82,completed
99,294,2026-03-17,85.89,completed
100,574,2026-05-04,56.45,completed
101,598,2026-04-26,50.54,refunded
102,446,2026-04-24,25.69,completed
103,210,2026-04-22,43.12,completed
104,590,2026-04-25,18.4,cancelled
105,714,2026-03-09,32.43,completed
106,302,2026-03-22,78.77,completed
107,909,2026-03-13,198.81,cancelled
108,223,2026-05-28,134.77,completed
109,734,2026-04-17,135.8,completed
110,3,2026-03-18,25.73,completed
111,990,2026-05-15,31.63,completed
112,518,2026-04-09,61.15,completed
113,93,2026-03-17,127.68,completed
114,520,2026-03-15,7.66,completed
115,428,2026-03-15,18.14,completed
116,493,2026-05-18,7.5,completed
117,235,2026-05-02,47.34,completed
118,620,2026-04-08,18.29,cancelled
119,161,2026-03-13,19.73,completed
120,721,2026-05-20,3.68,cancelled
121,752,2026-04-01,21.52,completed
122,331,2026-03-09,99.21,completed
123,333,2026-04-09,13.27,completed
124,50,2026-03-20,59.4,completed
125,523,2026-05-29,49.66,completed
126,863,2026-05-24,99.57,completed
127,668,2026-05-21,7.09,completed
128,492,2026-05-16,189.91,completed
129,582,2026-05-19,43.69,completed
130,681,2026-05-12,269.9,completed
131,272,2026-05-02,121.25,completed
132,580,2026-05-15,12.52,completed
133,867,2026-04-13,2.89,completed
134,252,2026-04-07,14.76,completed
135,560,2026-05-22,37.49,completed
136,696,2026-04-29,9.41,refunded
137,832,2026-05-10,9.16,completed
138,699,2026-04-17,31.05,completed
139,90,2026-03-18,1.69,completed
140,446,2026-03-16,6.5,cancelled
141,332,2026-04-24,26.88,completed
142,139,2026-04-08,3.26,refunded
143,357,2026-05-07,25.27,completed
144,601,2026-04-28,32.12,completed
145,274,2026-05-28,30.01,cancelled
146,19,2026-05-01,101.69,completed
147,983,2026-03-13,37.76,completed
148,311,2026-05-20,31.55,completed
149,870,2026-03-06,26.44,cancelled
150,886,2026-05-22,85.08,completed
151,978,2026-05-16,112.72,completed
152,154,2026-04-29,95.95,completed
153,390,2026-05-29,55.97,completed
154,260,2026-03-14,7.39,cancelled
155,620,2026-04-23,16.21,completed
156,883,2026-03-04,2.36,completed
157,797,2026-04-08,133.56,cancelled
158,571,2026-05-11,54.06,completed
159,125,2026-03-25,68.59,completed
160,354,2026-05-16,18.67,completed
161,273,2026-04-01,93.43,completed
162,619,2026-04-28,15.03,completed
163,811,2026-05-02,0.08,completed
164,245,2026-04-07,23.61,completed
165,848,2026-04-22,42.29,completed
166,450,2026-05-06,32.57,completed
167,930,2026-03-28,99.05,completed
168,247,2026-03-03,5.57,completed
169,520,2026-05-19,40.35,completed
170,141,2026-03-22,35.97,refunded
171,362,2026-04-07,16.52,completed
172,8,2026-05-11,86.36,completed
173,478,2026-05-11,69.89,completed
174,352,2026-05-01,66.0,completed
175,996,2026-04-26,104.45,completed
176,495,2026-03-06,64.15,completed
177,606,2026-05-17,13.19,completed
178,833,2026-04-01,61.13,refunded
179,427,2026-03-10,18.39,completed
180,39,2026-03-03,13.87,completed
181,593,2026-04-28,3.79,completed
182,187,2026-05-15,68.13,completed
183,596,2026-04-18,62.07,completed
184,600,2026-04-28,13.36,completed
185,754,2026-03-31,69.19,completed
186,854,2026-05-08,124.95,completed
187,93,2026-05-01,5.72,completed
188,86,2026-04-21,13.24,completed
189,44,2026-05-28,69.37,completed
190,137,2026-04-10,16.05,completed
191,421,2026-03-31,49.0,completed
192,74,2026-05-24,4.23,completed
193,548,2026-05-23,30.09,completed
194,613,2026-03-22,67.18,cancelled
195,988,2026-03-04,58.0,completed
196,512,2026-03-13,84.39,completed
197,156,2026-04-14,104.96,completed
198,938,2026-04-11,74.18,completed
199,255,2026-04-18,55.67,completed
200,171,2026-03-20,1.61,cancelled
201,981,2026-05-16,38.28,completed
202,728,2026-05-20,1.92,refunded
203,170,2026-04-23,82.53,cancelled
204,764,2026-04-05,19.34,completed
205,872,2026-03-01,41.33,completed
206,322,2026-03-15,16.39,completed
207,567,2026-05-16,76.28,completed
208,456,2026-03-17,108.8,cancelled
209,944,2026-03-24,25.43,completed
210,603,2026-04-27,99.36,cancelled
211,790,2026-05-11,15.54,completed
212,613,2026-03-23,38.25,cancelled
213,155,2026-04-15,97.87,cancelled
214,889,2026-05-11,19.72,completed
215,349,2026-03-08,154.0,completed
216,451,2026-04-28,6.5,completed
217,876,2026-05-29,0.92,completed
218,653,2026-04-28,117.24,refunded
219,173,2026-03-13,3.56,completed
220,10,2026-04-08,240.73,completed
221,740,2026-03-28,151.2,completed
222,265,2026-05-28,7.37,completed
223,438,2026-04-30,38.56,completed
224,760,2026-03-16,10.22,completed
225,247,2026-03-02,27.94,completed
226,667,2026-05-21,3.17,completed
227,546,2026-03-17,12.68,completed
228,499,2026-03-30,22.57,completed
229,129,2026-03-13,28.87,completed
230,672,2026-05-21,189.7,completed
231,601,2026-03-13,82.48,completed
232,605,2026-04-12,66.86,completed
233,327,2026-05-24,38.51,completed
234,753,2026-03-21,91.63,completed
235,835,2026-04-24,20.72,refunded
236,980,2026-05-20,61.7,completed
237,404,2026-04-09,254.03,refunded
238,629,2026-05-22,18.89,completed
239,606,2026-03-15,56.05,completed
240,675,2026-05-12,93.0,completed
241,611,2026-04-21,123.73,completed
242,625,2026-05-13,63.28,completed
243,359,2026-04-22,16.68,completed
244,603,2026-05-26,19.75,completed
245,858,2026-04-21,1.05,completed
246,718,2026-03-30,71.54,completed
247,17,2026-04-02,2.18,completed
248,274,2026-04-26,100.0,completed
249,685,2026-04-21,6.32,completed
250,116,2026-03-09,9.43,completed
251,861,2026-04-23,32.36,completed
252,980,2026-03-01,66.95,completed
253,693,2026-04-13,7.48,completed
254,91,2026-05-14,29.0,cancelled
255,82,2026-05-19,32.97,completed
256,324,2026-03-09,11.93,completed
257,961,2026-04-01,6.14,completed
258,114,2026-03-15,90.52,completed
259,769,2026-03-12,34.9,completed
260,58,2026-05-17,0.72,completed
261,154,2026-04-26,81.22,completed
262,877,2026-03-08,197.63,completed
263,404,2026-05-11,46.56,completed
264,628,2026-03-27,35.03,completed
265,855,2026-05-01,105.36,completed
266,266,2026-03-12,152.37,completed
267,315,2026-05-04,70.23,completed
268,715,2026-04-11,29.48,completed
269,41,2026-05-01,44.85,completed
270,105,2026-03-11,60.35,completed
271,901,2026-04-12,10.8,completed
272,890,2026-03-17,29.64,cancelled
273,193,2026-04-01,88.55,completed
274,401,2026-05-24,53.17,refunded
275,278,2026-05-24,26.48,completed
276,354,2026-04-09,54.44,completed
277,749,2026-03-23,6.29,completed
278,937,2026-04-25,25.67,completed
279,733,2026-03-06,78.78,completed
280,580,2026-05-25,12.46,completed
281,709,2026-04-19,10.29,completed
282,256,2026-04-06,150.61,cancelled
283,651,2026-05-03,11.78,completed
284,824,2026-04-23,15.12,completed
285,947,2026-05-11,174.69,completed
286,661,2026-04-18,66.35,completed
287,99,2026-03-11,60.13,completed
288,588,2026-05-27,95.84,completed
289,282,2026-04-18,6.15,cancelled
290,883,2026-03-21,61.2,completed
291,403,2026-05-05,35.03,completed
292,109,2026-05-02,88.35,completed
293,700,2026-05-22,35.48,refunded
294,199,2026-03-28,48.41,completed
295,303,2026-03-17,32.48,completed
296,327,2026-03-06,32.52,completed
297,154,2026-03-19,73.04,completed
298,552,2026-04-25,49.52,completed
299,645,2026-03-28,50.16,completed
300,405,2026-05-05,29.92,refunded
301,462,2026-04-07,37.87,cancelled
302,132,2026-04-06,68.47,completed
303,791,2026-05-07,87.42,completed
304,874,2026-05-25,59.63,completed
305,84,2026-05-29,128.9,cancelled
306,399,2026-04-18,85.83,completed
307,754,2026-04-12,41.26,completed
308,628,2026-04-05,55.65,completed
309,109,2026-04-27,130.39,completed
310,221,2026-03-13,48.27,completed
311,904,2026-04-21,87.09,completed
312,553,2026-04-27,58.37,completed
313,368,2026-04-01,40.14,cancelled
314,147,2026-05-20,13.84,completed
315,112,2026-04-29,27.76,completed
316,615,2026-05-22,171.7,completed
317,558,2026-04-27,53.61,completed
318,924,2026-04-25,41.55,completed
319,494,2026-03-28,135.12,completed
320,505,2026-03-01,44.16,completed
321,475,2026-04-11,37.34,cancelled
322,836,2026-05-21,71.21,completed
323,890,2026-04-17,62.36,completed
324,271,2026-04-09,10.73,completed
325,995,2026-05-02,31.87,completed
326,421,2026-05-15,31.98,completed
327,897,2026-05-11,23.76,cancelled
328,707,2026-05-27,36.42,completed
329,367,2026-05-19,26.65,completed
330,280,2026-03-04,11.12,refunded
331,283,2026-04-07,26.58,completed
332,40,2026-03-27,3.75,completed
333,959,2026-03-09,42.88,completed
334,189,2026-03-16,96.09,completed
335,164,2026-04-25,64.6,completed
336,994,2026-05-15,22.35,completed
337,989,2026-03-31,4.55,completed
338,536,2026-05-27,11.29,completed
339,536,2026-03-14,39.43,completed
340,4,2026-03-25,11.6,completed
341,835,2026-04-03,39.26,completed
342,290,2026-05-06,13.17,cancelled
343,953,2026-03-24,94.5,completed
344,433,2026-05-12,25.31,completed
345,471,2026-03-26,14.09,completed
346,181,2026-03-20,83.65,completed
347,248,2026-05-03,20.99,refunded
348,628,2026-03-10,5.91,completed
349,279,2026-05-22,42.25,completed
350,877,2026-05-06,43.56,completed
351,581,2026-03-24,62.71,completed
352,863,2026-03-05,13.74,completed
353,254,2026-05-06,29.33,completed
354,181,2026-04-27,16.59,completed
355,830,2026-03-27,4.22,completed
356,681,2026-05-19,104.62,completed
357,825,2026-03-15,65.26,completed
358,509,2026-04-04,17.94,completed
359,761,2026-05-15,45.74,cancelled
360,700,2026-04-22,11.24,completed
361,566,2026-04-13,110.47,completed
362,326,2026-03-26,6.1,completed
363,357,2026-04-16,0.19,completed
364,825,2026-04-03,34.86,cancelled
365,650,2026-05-26,43.75,completed
366,680,2026-04-19,43.25,completed
367,391,2026-05-23,2.8,completed
368,615,2026-03-12,18.85,completed
369,934,2026-05-26,34.58,completed
370,85,2026-03-04,12.2,completed
371,317,2026-05-26,103.03,completed
372,212,2026-04-17,4.56,completed
373,515,2026-04-24,33.41,completed
374,384,2026-03-01,58.79,completed
375,691,2026-05-28,15.17,completed
376,342,2026-05-05,48.94,completed
377,815,2026-03-30,88.42,completed
378,964,2026-03-03,10.56,completed
379,988,2026-03-21,124.58,completed
380,844,2026-05-28,40.32,completed
381,38,2026-05-23,17.78,refunded
382,511,2026-04-18,28.18,cancelled
383,420,2026-05-25,18.71,completed
384,751,2026-05-24,64.57,completed
385,169,2026-05-01,79.56,completed
386,965,2026-04-07,89.47,completed
387,909,2026-03-15,212.61,completed
388,343,2026-04-21,78.34,completed
389,826,2026-05-18,45.99,refunded
390,306,2026-04-15,20.72,completed
391,542,2026-03-25,39.33,completed
392,702,2026-03-21,2.1,completed
393,869,2026-05-27,68.29,completed
394,537,2026-03-05,29.53,completed
395,112,2026-05-09,1.01,completed
396,411,2026-04-16,3.23,completed
397,947,2026-05-26,24.51,completed
398,206,2026-05-07,43.78,completed
399,185,2026-03-18,31.2,completed
400,382,2026-03-21,48.27,completed
401,496,2026-05-25,32.72,completed
402,379,2026-03-23,54.19,completed
403,47,2026-05-03,12.37,refunded
404,886,2026-05-06,5.99,completed
405,740,2026-04-09,45.37,cancelled
406,551,2026-03-10,33.15,cancelled
407,528,2026-05-28,1.36,completed
408,504,2026-04-21,23.94,completed
409,22,2026-05-11,5.61,cancelled
410,213,2026-05-14,37.9,completed
411,310,2026-04-30,25.19,completed
412,661,2026-05-03,47.49,cancelled
413,968,2026-03-05,81.89,completed
414,753,2026-04-22,17.81,completed
415,272,2026-04-24,163.64,completed
416,571,2026-04-06,38.35,completed
417,799,2026-04-25,48.15,completed
418,938,2026-04-28,57.08,completed
419,202,2026-05-08,54.94,completed
420,32,2026-05-12,35.77,completed
421,443,2026-04-28,28.0,completed
422,162,2026-03-02,2.76,completed
423,767,2026-05-04,1.12,completed
424,254,2026-04-29,22.16,completed
425,521,2026-04-20,20.3,completed
426,977,2026-03-30,24.53,completed
427,651,2026-03-11,7.45,refunded
428,480,2026-05-15,67.0,completed
429,10,2026-04-08,97.23,completed
430,726,2026-05-29,139.61,completed
431,505,2026-05-16,33.9,completed
432,785,2026-05-11,60.34,completed
433,836,2026-05-02,96.74,completed
434,560,2026-05-03,27.09,completed
435,436,2026-04-30,18.51,completed
436,111,2026-04-23,138.01,completed
437,153,2026-05-12,36.25,completed
438,635,2026-04-27,34.38,completed
439,917,2026-05-24,9.83,cancelled
440,869,2026-04-25,5.72,completed
441,102,2026-04-03,92.29,completed
442,753,2026-03-31,47.61,completed
443,833,2026-04-21,19.71,refunded
444,191,2026-05-28,10.64,completed
445,729,2026-05-15,40.54,refunded
446,563,2026-03-01,43.84,completed
447,804,2026-04-24,11.6,completed
448,81,2026-03-22,95.33,completed
449,489,2026-04-09,4.4,completed
450,895,2026-03-01,22.01,completed
451,88,2026-05-04,57.03,completed
452,194,2026-05-02,16.02,completed
453,104,2026-04-23,87.92,cancelled
454,783,2026-04-11,67.33,completed
455,96,2026-03-21,77.8,cancelled
456,423,2026-05-18,6.34,completed
457,891,2026-05-20,7.57,completed
458,198,2026-03-22,16.88,cancelled
459,1,2026-04-07,36.5,completed
460,407,2026-05-19,68.92,completed
461,378,2026-03-08,90.56,completed
462,167,2026-05-01,60.93,completed
463,509,2026-04-16,131.97,completed
464,638,2026-03-17,67.11,completed
465,313,2026-03-17,18.28,completed
466,593,2026-05-29,15.4,refunded
467,418,2026-03-13,59.57,completed
468,763,2026-03-17,10.71,cancelled
469,681,2026-04-07,4.86,completed
470,477,2026-05-20,37.99,completed
471,73,2026-05-17,86.2,completed
472,141,2026-04-14,5.34,completed
473,582,2026-03-06,78.48,cancelled
474,262,2026-04-04,83.45,completed
475,340,2026-03-14,32.92,completed
476,308,2026-05-11,2.95,completed
477,245,2026-04-30,9.59,completed
478,515,2026-03-15,61.45,cancelled
479,337,2026-04-23,62.2,cancelled
480,575,2026-03-27,114.31,completed
481,561,2026-03-13,43.7,completed
482,76,2026-03-31,6.63,completed
483,880,2026-04-04,6.47,completed
484,175,2026-04-29,63.85,refunded
485,109,2026-03-06,10.15,completed
486,183,2026-05-08,19.9,completed
487,192,2026-05-25,33.39,completed
488,65,2026-04-27,1.25,refunded
489,849,2026-04-18,14.31,completed
490,963,2026-03-23,26.2,completed
491,474,2026-05-28,16.4,completed
492,783,2026-04-03,7.33,completed
493,100,2026-03-26,65.1,completed
494,544,2026-04-16,83.87,completed
495,864,2026-03-05,14.89,completed
496,128,2026-05-29,74.45,completed
497,452,2026-03-20,24.35,completed
498,914,2026-03-06,35.33,completed
499,369,2026-05-09,96.9,completed
500,851,2026-04-28,69.31,completed
501,43,2026-05-03,81.77,completed
502,884,2026-03-18,7.36,completed
503,419,2026-03-04,3.61,cancelled
504,488,2026-03-17,111.94,completed
505,78,2026-03-14,24.54,completed
506,826,2026-05-17,16.98,completed
507,801,2026-03-13,64.49,completed
508,270,2026-03-07,90.52,completed
509,674,2026-04-13,99.2,completed
510,701,2026-03-15,18.99,completed
511,759,2026-03-19,95.6,completed
512,900,2026-05-02,2.09,completed
513,728,2026-04-04,2.55,completed
514,315,2026-05-20,48.84,completed
515,925,2026-04-04,3.26,completed
516,851,2026-03-19,19.62,completed
517,902,2026-03-20,55.85,completed
518,889,2026-04-04,20.57,refunded
519,993,2026-04-01,9.9,completed
520,945,2026-04-17,16.52,completed
521,168,2026-04-13,30.59,completed
522,339,2026-03-24,32.25,cancelled
523,193,2026-04-30,76.39,completed
524,453,2026-03-17,69.35,completed
525,283,2026-05-10,30.52,cancelled
526,336,2026-04-19,93.43,cancelled
527,390,2026-05-04,6.07,completed
528,1000,2026-04-01,14.74,completed
529,525,2026-04-05,88.01,completed
530,240,2026-03-13,23.74,completed
531,832,2026-05-09,198.65,completed
532,958,2026-04-27,31.39,completed
533,483,2026-03-14,78.5,completed
534,659,2026-04-06,25.73,completed
535,716,2026-05-18,27.67,completed
536,592,2026-05-07,24.13,completed
537,891,2026-04-09,63.48,completed
538,555,2026-04-28,39.65,completed
539,458,2026-05-19,143.92,cancelled
540,89,2026-03-16,14.44,completed
541,660,2026-05-01,5.3,completed
542,95,2026-03-04,24.98,cancelled
543,452,2026-04-14,47.95,completed
544,428,2026-05-29,98.59,completed
545,151,2026-03-28,21.25,cancelled
546,514,2026-05-05,53.04,completed
547,376,2026-03-31,21.55,completed
548,22,2026-03-03,48.01,completed
549,883,2026-03-08,108.06,completed
550,313,2026-03-24,13.16,completed
551,997,2026-03-15,25.9,cancelled
552,840,2026-04-12,250.02,completed
553,519,2026-03-31,101.46,completed
554,206,2026-05-12,41.58,completed
555,952,2026-04-14,36.35,completed
556,375,2026-05-05,16.75,completed
557,451,2026-03-08,36.41,completed
558,626,2026-05-10,94.25,completed
559,784,2026-04-26,57.79,completed
560,595,2026-05-19,17.13,completed
561,179,2026-03-30,11.25,completed
562,210,2026-05-13,15.41,completed
563,500,2026-03-18,9.3,completed
