user_id,experiment_group,assignment_timestamp,exposure_timestamp,exposure_date,device_at_exposure,traffic_source_at_exposure,user_type,payment_attempt_timestamp,purchase_timestamp,reached_checkout_view,reached_payment_attempt,reached_purchase,had_payment_failure,had_checkout_error,payment_succeeded,completion_minutes,order_id,order_amount,order_status,mature_order_followup,retained_revenue,refunded_or_cancelled
U000001,control,2026-07-10 01:48:57,2026-07-10 03:55:57.474342798,2026-07-10,mobile,direct,returning,2026-07-10 04:17:57.474342798,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000002,treatment,2026-07-08 17:33:58,2026-07-08 19:53:25.247435122,2026-07-08,desktop,direct,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000003,control,2026-07-12 10:15:32,2026-07-12 14:02:33.743649830,2026-07-12,mobile,direct,new,,,1,0,0,0,0,,,,,,0,0.0,0
U000004,treatment,2026-07-09 12:50:32,2026-07-09 15:21:40.318484834,2026-07-09,desktop,paid_search,returning,2026-07-09 15:25:40.318484834,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000005,control,2026-07-14 05:39:05,2026-07-14 08:46:27.258509648,2026-07-14,desktop,paid_search,new,2026-07-14 08:59:27.258509648,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000006,treatment,2026-07-04 22:53:13,2026-07-05 04:21:24.685140208,2026-07-05,mobile,social,returning,2026-07-05 04:44:24.685140208,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000007,treatment,2026-07-01 04:23:23,2026-07-01 07:32:09.241222682,2026-07-01,mobile,paid_search,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000008,treatment,2026-07-05 08:13:03,2026-07-05 14:18:40.465860774,2026-07-05,mobile,paid_search,returning,2026-07-05 14:38:40.465860774,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000009,treatment,2026-07-02 02:45:36,2026-07-02 05:49:14.058757080,2026-07-02,desktop,organic,returning,2026-07-02 05:52:14.058757080,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000010,control,2026-07-12 02:35:17,2026-07-12 08:25:13.148643854,2026-07-12,desktop,paid_search,new,,,1,0,0,0,0,,,,,,0,0.0,0
U000011,control,2026-07-04 02:47:35,2026-07-04 06:49:28.140689114,2026-07-04,mobile,paid_search,returning,2026-07-04 06:51:28.140689114,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000012,control,2026-07-06 01:07:34,2026-07-06 03:14:47.359902856,2026-07-06,mobile,social,returning,2026-07-06 03:28:47.359902856,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000013,control,2026-07-10 11:32:40,2026-07-10 13:02:38.836244110,2026-07-10,mobile,organic,returning,2026-07-10 13:11:38.836244110,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000014,control,2026-07-04 02:45:09,2026-07-04 08:41:41.126019738,2026-07-04,mobile,organic,new,2026-07-04 08:43:41.126019738,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000015,control,2026-07-12 23:32:06,2026-07-13 00:42:45.834835452,2026-07-13,mobile,paid_search,returning,2026-07-13 00:57:45.834835452,2026-07-13 01:00:00.086116716,1,1,1,0,0,1.0,17.23751664161682,O0000002,112.83,completed,1,112.83,0
U000016,treatment,2026-07-10 18:00:48,2026-07-11 02:26:10.522619076,2026-07-11,mobile,direct,new,2026-07-11 02:42:10.522619076,2026-07-11 02:58:23.465040834,1,1,1,0,0,1.0,32.21570000052452,O0000003,196.07,completed,1,196.07,0
U000017,control,2026-07-01 16:54:37,2026-07-01 20:23:10.884748959,2026-07-01,mobile,direct,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000018,treatment,2026-07-04 12:45:48,2026-07-04 13:57:26.303572326,2026-07-04,mobile,organic,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000021,treatment,2026-07-05 23:18:24,2026-07-06 02:39:26.279156088,2026-07-06,desktop,email,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000022,control,2026-07-11 03:47:42,2026-07-11 09:43:17.383054650,2026-07-11,desktop,social,returning,2026-07-11 09:54:17.383054650,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000023,control,2026-07-04 16:58:31,2026-07-04 20:02:56.702578450,2026-07-04,desktop,paid_search,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000026,treatment,2026-07-04 15:53:47,2026-07-04 18:43:07.009361042,2026-07-04,desktop,direct,returning,2026-07-04 18:51:07.009361042,,1,1,0,1,0,0.0,,,,,0,0.0,0
U000027,control,2026-07-13 04:01:15,2026-07-13 04:46:15.438416958,2026-07-13,desktop,organic,new,2026-07-13 04:56:15.438416958,2026-07-13 05:16:02.173205130,1,1,1,0,0,1.0,29.778916463255882,O0000005,128.27,completed,1,128.27,0
U000028,control,2026-07-12 01:06:23,2026-07-12 02:12:21.949978616,2026-07-12,desktop,organic,returning,2026-07-12 02:22:21.949978616,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000029,control,2026-07-08 22:48:45,2026-07-09 01:14:00.534419364,2026-07-09,desktop,direct,returning,2026-07-09 01:16:00.534419364,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000030,treatment,2026-07-09 13:52:41,2026-07-09 15:24:23.515780454,2026-07-09,mobile,paid_search,new,2026-07-09 15:28:23.515780454,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000031,treatment,2026-07-08 23:24:17,2026-07-09 02:47:12.681594836,2026-07-09,tablet,paid_search,returning,2026-07-09 02:57:12.681594836,2026-07-09 03:21:24.124401608,1,1,1,0,0,1.0,34.19069968163967,O0000007,167.59,completed,1,167.59,0
U000032,control,2026-07-03 05:14:11,2026-07-03 10:44:33.520637726,2026-07-03,mobile,direct,returning,2026-07-03 11:02:33.520637726,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000033,control,2026-07-01 22:21:15,2026-07-02 00:48:40.242625806,2026-07-02,desktop,email,returning,2026-07-02 01:02:40.242625806,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000034,treatment,2026-07-09 15:27:02,2026-07-09 18:58:21.106463066,2026-07-09,mobile,direct,new,2026-07-09 19:22:21.106463066,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000035,control,2026-07-01 19:36:23,2026-07-01 21:19:30.170707130,2026-07-01,desktop,email,returning,2026-07-01 21:21:30.170707130,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000036,treatment,2026-07-09 01:35:49,2026-07-09 02:08:18.945525394,2026-07-09,desktop,direct,new,2026-07-09 02:21:18.945525394,2026-07-09 03:17:54.183020254,1,1,1,0,0,1.0,69.58728298544884,O0000008,190.91,completed,1,190.91,0
U000037,treatment,2026-07-08 17:57:01,2026-07-08 21:39:48.596760448,2026-07-08,mobile,paid_search,returning,2026-07-08 22:01:48.596760448,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000038,control,2026-07-05 22:30:24,2026-07-05 23:36:25.591278336,2026-07-05,desktop,direct,new,2026-07-05 23:47:25.591278336,2026-07-05 23:59:04.754119284,1,1,1,0,0,1.0,22.652716264128685,O0000009,57.76,completed,1,57.76,0
U000039,treatment,2026-07-02 04:05:15,2026-07-02 07:24:51.422644224,2026-07-02,desktop,organic,new,2026-07-02 07:38:51.422644224,2026-07-02 08:10:29.729039154,1,1,1,0,0,1.0,45.63843347132206,O0000010,151.26,completed,1,151.26,0
U000040,treatment,2026-07-12 13:31:21,2026-07-12 16:28:26.718620472,2026-07-12,desktop,email,returning,2026-07-12 16:33:26.718620472,2026-07-12 16:49:06.533895366,1,1,1,0,0,1.0,20.663583353161812,O0000011,89.76,completed,1,89.76,0
U000041,treatment,2026-07-08 00:42:10,2026-07-08 04:31:30.887256658,2026-07-08,mobile,direct,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000042,treatment,2026-07-14 07:33:45,2026-07-14 08:27:58.948353618,2026-07-14,mobile,organic,returning,2026-07-14 08:34:58.948353618,2026-07-14 08:44:18.353073078,1,1,1,0,0,1.0,16.323416456580162,O0000012,126.71,completed,1,126.71,0
U000043,treatment,2026-07-08 21:18:16,2026-07-08 21:54:32.465028550,2026-07-08,desktop,organic,new,2026-07-08 22:14:32.465028550,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000045,control,2026-07-13 23:28:05,2026-07-14 03:42:09.055238869,2026-07-14,mobile,email,returning,2026-07-14 03:47:09.055238869,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000046,control,2026-07-13 17:20:37,2026-07-13 20:08:19.826231074,2026-07-13,desktop,organic,new,2026-07-13 20:18:19.826231074,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000047,treatment,2026-07-01 02:57:22,2026-07-01 05:03:09.709287310,2026-07-01,mobile,social,returning,2026-07-01 05:21:09.709287310,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000048,control,2026-07-10 07:58:12,2026-07-10 10:07:45.225869442,2026-07-10,mobile,email,new,2026-07-10 10:24:45.225869442,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000050,treatment,2026-07-12 13:46:04,2026-07-12 14:41:27.021229420,2026-07-12,desktop,organic,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000051,treatment,2026-07-11 21:15:25,2026-07-11 22:58:28.781363614,2026-07-11,mobile,direct,returning,2026-07-11 23:15:28.781363614,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000052,control,2026-07-14 02:37:52,2026-07-14 05:37:49.704225940,2026-07-14,desktop,paid_search,returning,2026-07-14 05:45:49.704225940,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000053,control,2026-07-09 02:48:24,2026-07-09 03:45:45.516293322,2026-07-09,mobile,organic,returning,2026-07-09 04:00:45.516293322,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000056,control,2026-07-14 03:30:53,2026-07-14 05:07:47.331731042,2026-07-14,desktop,paid_search,returning,2026-07-14 05:29:47.331731042,2026-07-14 05:50:49.210246069,1,1,1,0,0,1.0,43.031299486756325,O0000014,73.37,completed,1,73.37,0
U000057,control,2026-07-14 06:22:51,2026-07-14 10:15:52.248423138,2026-07-14,desktop,email,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000059,treatment,2026-07-09 20:35:26,2026-07-10 05:04:00.611292452,2026-07-10,mobile,paid_search,returning,,,1,0,0,0,0,,,,,,0,0.0,0
