event_id,user_id,event_timestamp,event_name,experiment_group,device,traffic_source,session_id
E00032258,U017527,2026-07-07 04:01:52.023607902,purchase,control,desktop,paid_search,S_U017527_1783395999
E00010584,U005678,2026-07-13 20:00:20.896772298,purchase,control,desktop,organic,S_U005678_1783971701
E00025752,U014001,2026-07-08 00:14:48.692075998,checkout_view,treatment,desktop,organic,S_U014001_1783469688
E00032378,U017589,2026-07-13 19:03:55.365163386,payment_failure,treatment,desktop,paid_search,S_U017589_1783969245
E00028882,U015683,2026-07-10 16:42:36.611667048,payment_attempt,treatment,mobile,social,S_U015683_1783701576
E00031057,U016860,2026-07-06 05:56:40.478534374,checkout_view,treatment,desktop,direct,S_U016860_1783317400
E00020954,U011366,2026-07-12 23:35:52.113127996,purchase,treatment,mobile,paid_search,S_U011366_1783898200
E00011371,U006105,2026-07-10 10:55:43.282355736,payment_attempt,treatment,desktop,organic,S_U006105_1783680043
E00008378,U004483,2026-07-03 20:20:50.835046870,checkout_view,control,desktop,organic,S_U004483_1783110050
E00017952,U009702,2026-07-14 13:34:10.470603880,payment_attempt,control,mobile,social,S_U009702_1784034610
E00021415,U011609,2026-07-01 09:55:11.290487310,purchase,treatment,tablet,social,S_U011609_1782896404
E00032083,U017443,2026-07-02 05:49:58.011600624,checkout_view,treatment,mobile,organic,S_U017443_1782971398
E00023717,U012864,2026-07-12 04:02:19.756964100,payment_attempt,control,mobile,email,S_U012864_1783828699
E00025108,U013630,2026-07-05 04:05:28.863597490,purchase,treatment,mobile,organic,S_U013630_1783223484
E00019435,U010508,2026-07-01 16:35:00.177495305,checkout_view,control,mobile,email,S_U010508_1782923700
E00028715,U015588,2026-07-14 14:05:31.047485876,payment_attempt,control,mobile,email,S_U015588_1784036671
E00035257,U019150,2026-07-10 13:10:27.879590454,purchase,treatment,desktop,organic,S_U019150_1783687771
E00013724,U007412,2026-07-11 09:42:00.459605524,checkout_view,treatment,mobile,email,S_U007412_1783762920
E00017536,U009471,2026-07-04 13:58:26.958160798,payment_attempt,treatment,mobile,email,S_U009471_1783173386
E00015628,U008439,2026-07-10 01:31:45.799276540,payment_attempt,treatment,desktop,organic,S_U008439_1783646085
E00019389,U010480,2026-07-07 21:54:46.532605628,payment_attempt,treatment,desktop,direct,S_U010480_1783461166
E00004174,U002247,2026-07-04 09:10:53.081762896,payment_attempt,treatment,mobile,social,S_U002247_1783155473
E00015341,U008296,2026-07-07 11:36:37.188898524,payment_attempt,treatment,mobile,social,S_U008296_1783423537
E00022774,U012349,2026-07-05 00:13:54.818969886,checkout_view,control,mobile,paid_search,S_U012349_1783210434
E00034861,U018942,2026-07-13 14:34:54.021060030,payment_attempt,treatment,mobile,paid_search,S_U018942_1783952154
E00033539,U018222,2026-07-08 01:03:18.012023650,checkout_view,control,mobile,paid_search,S_U018222_1783472598
E00020753,U011256,2026-07-11 15:07:07.677144760,purchase,treatment,mobile,organic,S_U011256_1783781828
E00032427,U017617,2026-07-08 16:48:02.340022068,purchase,control,desktop,organic,S_U017617_1783528502
E00026009,U014141,2026-07-06 22:31:01.956721764,checkout_view,treatment,desktop,organic,S_U014141_1783377061
E00000767,U000389,2026-07-03 00:02:55.301599506,payment_attempt,control,desktop,paid_search,S_U000389_1783036555
E00018292,U009880,2026-07-11 02:13:03.137857826,payment_attempt,control,mobile,social,S_U009880_1783735443
E00000662,U000335,2026-07-11 02:30:23.107087566,payment_attempt,treatment,desktop,social,S_U000335_1783736003
E00033374,U018130,2026-07-14 14:18:05.508963672,checkout_view,treatment,mobile,organic,S_U018130_1784038685
E00006804,U003639,2026-07-12 01:56:12.042124576,payment_attempt,treatment,desktop,organic,S_U003639_1783821012
E00032849,U017858,2026-07-10 15:31:09.062523162,payment_attempt,treatment,mobile,paid_search,S_U017858_1783696449
E00006935,U003709,2026-07-14 11:45:21.631038306,payment_attempt,treatment,desktop,paid_search,S_U003709_1784028561
E00027078,U014706,2026-07-11 20:41:54.463595694,purchase,control,tablet,organic,S_U014706_1783800237
E00028173,U015294,2026-07-12 00:22:04.698092414,checkout_view,treatment,mobile,paid_search,S_U015294_1783815724
E00030625,U016618,2026-07-08 12:05:35.327087544,payment_attempt,treatment,desktop,email,S_U016618_1783512095
E00027644,U015002,2026-07-14 09:04:00.122012456,payment_attempt,control,desktop,direct,S_U015002_1784019060
E00032686,U017768,2026-07-08 05:14:05.277149626,payment_failure,treatment,mobile,direct,S_U017768_1783487432
E00014921,U008068,2026-07-10 00:16:43.148123906,checkout_view,treatment,mobile,social,S_U008068_1783642603
E00001467,U000779,2026-07-04 23:56:11.409675818,checkout_view,control,desktop,social,S_U000779_1783209371
E00010000,U005359,2026-07-11 23:33:48.577818186,checkout_view,treatment,mobile,organic,S_U005359_1783812828
E00018397,U009927,2026-07-07 14:38:50.902990540,checkout_error,treatment,desktop,direct,S_U009927_1783435086
E00023270,U012616,2026-07-05 14:05:36.172257690,checkout_view,control,desktop,paid_search,S_U012616_1783260336
E00024590,U013343,2026-07-14 18:21:26.636476634,checkout_view,control,desktop,email,S_U013343_1784053286
E00028709,U015586,2026-07-05 16:57:06.308725450,checkout_view,control,mobile,social,S_U015586_1783270626
E00019708,U010657,2026-07-07 17:30:03.559579542,checkout_view,control,mobile,social,S_U010657_1783445403
E00017693,U009560,2026-07-09 17:02:24.030069626,payment_failure,control,mobile,organic,S_U009560_1783616348
E00015166,U008205,2026-07-13 18:50:15.466324236,checkout_view,control,mobile,social,S_U008205_1783968615
E00021513,U011665,2026-07-11 23:47:57.483944462,purchase,control,mobile,paid_search,S_U011665_1783812656
E00021806,U011832,2026-07-14 05:04:49.151733444,payment_attempt,control,desktop,direct,S_U011832_1784005069
E00015434,U008339,2026-07-07 14:05:30.521566972,payment_attempt,treatment,desktop,direct,S_U008339_1783432590
E00014295,U007719,2026-07-05 08:00:15.912359938,payment_attempt,treatment,desktop,paid_search,S_U007719_1783238235
E00013834,U007471,2026-07-13 15:56:28.020431748,checkout_error,control,mobile,paid_search,S_U007471_1783958138
E00011004,U005910,2026-07-03 01:33:34.808346642,checkout_error,control,mobile,organic,S_U005910_1783042286
E00031517,U017123,2026-07-09 16:26:47.247877686,checkout_view,control,desktop,paid_search,S_U017123_1783614407
E00025769,U014008,2026-07-09 03:09:26.214396418,checkout_view,control,mobile,direct,S_U014008_1783566566
E00004919,U002631,2026-07-01 12:47:14.121537782,checkout_view,control,desktop,direct,S_U002631_1782910034
E00006167,U003297,2026-07-13 05:28:29.989803382,purchase,treatment,tablet,direct,S_U003297_1783919565
E00030912,U016780,2026-07-01 22:46:19.040093236,checkout_view,control,mobile,social,S_U016780_1782945979
E00017851,U009648,2026-07-11 19:55:42.403096286,checkout_view,control,mobile,paid_search,S_U009648_1783799742
E00008499,U004551,2026-07-03 08:01:20.216640712,checkout_view,control,mobile,organic,S_U004551_1783065680
E00034976,U019002,2026-07-03 15:13:57.857355242,checkout_view,treatment,desktop,paid_search,S_U019002_1783091637
E00030634,U016625,2026-07-03 20:02:45.485398880,checkout_view,control,desktop,paid_search,S_U016625_1783108965
E00010863,U005819,2026-07-10 08:49:47.294665902,payment_failure,treatment,mobile,organic,S_U005819_1783672923
E00007507,U004011,2026-07-10 00:27:58.697149936,checkout_view,treatment,mobile,email,S_U004011_1783643278
E00009783,U005254,2026-07-08 19:42:53.794150374,payment_attempt,treatment,desktop,organic,S_U005254_1783538633
E00035743,U019430,2026-07-12 03:12:17.555508784,payment_attempt,control,tablet,social,S_U019430_1783824557
E00032831,U017848,2026-07-09 02:57:33.662777622,checkout_view,treatment,mobile,direct,S_U017848_1783565853
E00000461,U000237,2026-07-12 03:47:34.635696140,checkout_view,control,mobile,direct,S_U000237_1783828054
E00002473,U001327,2026-07-12 03:47:27.325069078,payment_failure,treatment,desktop,paid_search,S_U001327_1783827258
E00027678,U015018,2026-07-08 00:02:09.252094310,checkout_view,control,mobile,direct,S_U015018_1783468929
E00029450,U015978,2026-07-12 02:51:47.924010208,checkout_view,control,desktop,organic,S_U015978_1783824707
E00013566,U007334,2026-07-07 11:42:48.288492947,checkout_view,treatment,mobile,paid_search,S_U007334_1783424568
E00000559,U000282,2026-07-04 16:59:16.568840710,checkout_view,control,desktop,direct,S_U000282_1783184356
E00035117,U019072,2026-07-05 10:46:10.601834366,checkout_view,control,mobile,social,S_U019072_1783248370
E00000546,U000275,2026-07-05 06:16:34.634209060,payment_attempt,treatment,desktop,paid_search,S_U000275_1783230934
E00031508,U017117,2026-07-14 17:02:54.504255054,checkout_view,control,mobile,direct,S_U017117_1784048574
E00020870,U011321,2026-07-07 16:05:54.828566306,purchase,control,mobile,email,S_U011321_1783439150
E00007083,U003788,2026-07-06 05:37:48.452351298,checkout_view,control,mobile,paid_search,S_U003788_1783316268
E00004588,U002469,2026-07-04 07:01:06.383389826,payment_attempt,control,desktop,paid_search,S_U002469_1783147866
E00005766,U003091,2026-07-09 02:31:04.995458776,payment_attempt,treatment,mobile,direct,S_U003091_1783563604
E00028985,U015738,2026-07-11 00:14:40.438807806,purchase,treatment,mobile,social,S_U015738_1783727590
E00033547,U018225,2026-07-11 01:27:19.085577098,purchase,control,mobile,organic,S_U018225_1783732981
E00000832,U000423,2026-07-07 14:05:39.884398834,checkout_view,control,desktop,organic,S_U000423_1783433139
E00005522,U002961,2026-07-07 12:25:21.563940254,checkout_error,treatment,mobile,organic,S_U002961_1783427065
E00017149,U009263,2026-07-14 15:45:51.763730254,checkout_view,treatment,mobile,paid_search,S_U009263_1784043951
E00035262,U019152,2026-07-11 16:33:14.068349880,payment_attempt,control,mobile,direct,S_U019152_1783786154
E00008065,U004310,2026-07-11 16:17:09.991937702,payment_attempt,control,desktop,direct,S_U004310_1783786149
E00030667,U016643,2026-07-12 19:50:07.093588632,payment_attempt,treatment,desktop,organic,S_U016643_1783884607
E00008371,U004478,2026-07-01 13:09:13.745142856,checkout_view,control,desktop,organic,S_U004478_1782911353
E00025456,U013829,2026-07-13 20:03:43.829808614,payment_attempt,control,desktop,paid_search,S_U013829_1783972243
E00020010,U010829,2026-07-06 15:40:01.252290398,payment_attempt,control,desktop,social,S_U010829_1783352221
E00004672,U002512,2026-07-13 05:57:21.886862440,payment_attempt,treatment,desktop,social,S_U002512_1783922061
E00006229,U003331,2026-07-06 21:08:46.594724784,checkout_view,control,mobile,paid_search,S_U003331_1783372126
E00015474,U008359,2026-07-12 21:15:08.936160564,checkout_view,control,mobile,paid_search,S_U008359_1783890908
E00004048,U002176,2026-07-03 06:07:08.325241134,payment_attempt,control,desktop,direct,S_U002176_1783058468
E00029843,U016186,2026-07-04 05:48:16.568408144,payment_attempt,treatment,mobile,organic,S_U016186_1783142896
E00035945,U019540,2026-07-02 17:47:16.412827586,payment_attempt,control,desktop,direct,S_U019540_1783013476
E00002036,U001091,2026-07-04 19:31:17.249250006,checkout_view,control,mobile,direct,S_U001091_1783193477
E00022006,U011932,2026-07-11 11:13:42.773198718,payment_attempt,treatment,desktop,direct,S_U011932_1783768062
E00027143,U014742,2026-07-04 11:28:38.099877796,payment_attempt,control,desktop,organic,S_U014742_1783163498
E00024389,U013229,2026-07-14 14:49:02.989880242,purchase,control,tablet,organic,S_U013229_1784039693
E00003978,U002133,2026-07-11 02:24:31.910636812,checkout_view,treatment,mobile,paid_search,S_U002133_1783736671
E00019776,U010696,2026-07-05 15:55:56.175699549,payment_attempt,treatment,desktop,direct,S_U010696_1783266656
E00022697,U012308,2026-07-14 22:37:36.274134834,payment_attempt,control,mobile,social,S_U012308_1784068296
E00025923,U014093,2026-07-02 17:10:55.830620714,checkout_view,treatment,mobile,paid_search,S_U014093_1783012255
E00023081,U012514,2026-07-09 20:02:27.771520548,checkout_view,control,mobile,paid_search,S_U012514_1783627347
E00003172,U001716,2026-07-02 17:40:26.776232012,checkout_view,control,desktop,organic,S_U001716_1783014026
E00009155,U004918,2026-07-03 23:43:59.890018844,checkout_view,control,mobile,organic,S_U004918_1783122239
E00016012,U008641,2026-07-11 05:24:24.783045228,payment_attempt,control,mobile,organic,S_U008641_1783746684
E00010115,U005422,2026-07-12 14:10:27.432895070,checkout_view,control,desktop,organic,S_U005422_1783865427
E00021739,U011790,2026-07-04 11:02:29.124746894,payment_attempt,control,mobile,social,S_U011790_1783161689
E00004097,U002204,2026-07-02 04:19:34.073707248,purchase,treatment,desktop,paid_search,S_U002204_1782965623
