order_id,user_id,experiment_group,purchase_timestamp,order_amount,order_status,status_update_timestamp
O0000001,U000011,control,2026-07-05 23:40:35.463412070,90.81,completed,
O0000002,U000015,control,2026-07-13 01:00:00.086116716,112.83,completed,
O0000003,U000016,treatment,2026-07-11 02:58:23.465040834,196.07,completed,
O0000004,U000019,control,2026-07-14 18:14:41.135625038,69.58,completed,
O0000005,U000027,control,2026-07-13 05:16:02.173205130,128.27,completed,
O0000006,U000029,control,2026-07-11 09:15:14.682922896,134.75,completed,
O0000007,U000031,treatment,2026-07-09 03:21:24.124401608,167.59,completed,
O0000008,U000036,treatment,2026-07-09 03:17:54.183020254,190.91,completed,
O0000009,U000038,control,2026-07-05 23:59:04.754119284,57.76,completed,
O0000010,U000039,treatment,2026-07-02 08:10:29.729039154,151.26,completed,
O0000011,U000040,treatment,2026-07-12 16:49:06.533895366,89.76,completed,
O0000012,U000042,treatment,2026-07-14 08:44:18.353073078,126.71,completed,
O0000013,U000049,treatment,2026-07-14 13:59:45.628531116,141.27,completed,
O0000014,U000056,control,2026-07-14 05:50:49.210246069,73.37,completed,
O0000015,U000060,treatment,2026-07-07 06:51:07.232920092,79.55,completed,
O0000016,U000062,treatment,2026-07-07 10:11:17.147369264,65.43,completed,
O0000017,U000065,control,2026-07-01 20:34:59.310870854,81.0,completed,
O0000018,U000068,control,2026-07-10 04:48:01.684033712,45.56,cancelled,2026-07-15 04:48:01.684033712
O0000019,U000072,control,2026-07-12 00:57:12.253095358,73.19,completed,
O0000020,U000074,treatment,2026-07-10 04:16:19.188519038,154.97,completed,
O0000021,U000077,treatment,2026-07-13 04:23:33.663369220,101.62,completed,
O0000022,U000081,control,2026-07-05 04:55:50.081692360,179.77,completed,
O0000023,U000082,control,2026-07-13 20:25:13.953276180,95.22,completed,
O0000024,U000083,control,2026-07-02 04:00:58.812350706,110.67,completed,
O0000025,U000085,treatment,2026-07-12 23:33:55.013948150,126.79,completed,
O0000026,U000086,treatment,2026-07-03 14:40:29.418358706,136.99,completed,
O0000027,U000089,treatment,2026-07-05 12:37:56.624940774,92.06,completed,
O0000028,U000095,treatment,2026-07-06 19:08:14.832374104,184.8,completed,
O0000029,U000096,treatment,2026-07-13 04:02:40.758506050,88.36,completed,
O0000030,U000098,control,2026-07-04 17:28:49.309018812,159.56,completed,
O0000031,U000100,control,2026-07-09 14:30:55.694141836,40.09,completed,
O0000032,U000106,treatment,2026-07-15 00:25:43.221951686,91.91,completed,
O0000033,U000115,control,2026-07-01 11:24:24.653441578,92.53,refunded,2026-07-07 11:24:24.653441578
O0000034,U000119,treatment,2026-07-02 05:39:21.466032796,104.1,completed,
O0000035,U000120,treatment,2026-07-07 09:03:19.931699812,50.07,refunded,2026-07-08 09:03:19.931699812
O0000036,U000127,control,2026-07-08 22:20:23.381553064,62.77,completed,
O0000037,U000129,control,2026-07-03 20:24:31.952772648,55.62,completed,
O0000038,U000137,control,2026-07-11 21:36:50.275075590,74.85,completed,
O0000039,U000143,treatment,2026-07-01 05:46:37.951734560,97.78,completed,
O0000040,U000147,control,2026-07-14 03:43:22.330729851,40.13,completed,
O0000041,U000152,treatment,2026-07-15 00:48:44.403177578,57.05,completed,
O0000042,U000153,treatment,2026-07-12 04:56:08.419816330,101.0,refunded,2026-07-15 04:56:08.419816330
O0000043,U000154,control,2026-07-12 09:26:28.562634540,91.09,completed,
O0000044,U000156,control,2026-07-14 18:22:02.802166924,59.68,completed,
O0000045,U000162,control,2026-07-11 14:21:05.026246950,117.59,completed,
O0000046,U000163,control,2026-07-08 18:06:43.524885816,74.09,completed,
O0000047,U000164,control,2026-07-02 16:18:25.142135836,77.84,completed,
O0000048,U000165,control,2026-07-04 01:25:57.813162790,111.02,completed,
O0000049,U000166,treatment,2026-07-08 11:15:18.625105562,121.74,completed,
O0000050,U000169,control,2026-07-13 07:29:38.201278308,80.97,completed,
O0000051,U000175,treatment,2026-07-13 03:20:27.343824704,120.15,completed,
O0000052,U000177,control,2026-07-07 16:44:34.065231588,96.1,completed,
O0000053,U000181,control,2026-07-05 08:12:18.446083318,44.79,completed,
O0000054,U000183,control,2026-07-06 03:26:22.356601668,62.64,refunded,2026-07-09 03:26:22.356601668
O0000055,U000187,treatment,2026-07-03 02:29:16.117767076,42.26,completed,
O0000056,U000190,treatment,2026-07-14 23:50:49.379185000,40.43,completed,
O0000057,U000192,treatment,2026-07-12 05:56:22.773700606,41.16,completed,
